RocketName,NoseType,NoseLength,BodyLength,BodyDiameter,FinCount,FinShape,FinArea,StageCount,TotalMass,FuelMass,Thrust,BurnTime,ISP,DragCoeff,LaunchAngle,WindSpeed,AltitudeHeight,TimeAtAltitude,TotalFlightTime
Saturn V Apollo 11,Conical,3.9,110.6,10.1,4,Trapezoidal,12.5,3,2970000,2680000,34500000,165,304,0.47,90,5.2,185000,195,480
Falcon 9 Block 5 CRS-25,Ogive,2.8,70,3.7,4,Grid,8.2,2,549000,411000,7607000,162,311,0.52,90,3.8,408000,5760,420
Atlas V 401 NROL-44,Conical,4.2,58.3,3.8,0,None,0,2,334500,284600,3827000,245,337,0.49,90,8.1,35786000,1440,840
Delta IV Heavy NROL-71,Conical,5.1,72,5,0,None,0,2,733400,625900,9411000,245,410,0.48,90,6.7,35786000,1440,960
Space Shuttle Discovery STS-133,Blunt,0,56.1,8.7,0,None,0,3,2030000,1590000,30160000,120,452,0.82,90,4.3,408000,11520,1980
Ariane 5 ECA VA253,Conical,3.4,59,5.4,0,None,0,2,777000,670000,13500000,540,432,0.46,90,7.2,35786000,1440,780
Soyuz-FG Soyuz MS-15,Conical,2.7,49.5,2.95,4,Trapezoidal,4.8,3,308000,274000,4145000,286,257,0.51,90,9.4,408000,5760,540
Proton-M Briz-M Spektr-RG,Conical,4.1,58.2,4.1,0,None,0,4,705000,622000,10400000,330,316,0.49,90,5.8,1500000,518400,1080
Falcon Heavy Arabsat-6A,Ogive,2.8,70,3.7,12,Grid,24.6,2,1420788,1065000,22819000,154,311,0.52,90,7.1,35786000,1440,720
Long March 3B/E Chang'e 4,Conical,3.2,54.8,3.35,4,Trapezoidal,6.4,3,458000,410000,6040000,285,300,0.50,90,4.9,384400000,259200,1320
H-IIA 202 Hayabusa2,Conical,4,53,4,4,Trapezoidal,8.1,2,289000,249000,3140000,390,285,0.48,90,6.3,340000,3600,480
Titan IV-B Cassini-Huygens,Conical,3.8,62.2,3.05,0,None,0,4,943000,807000,14742000,140,302,0.47,90,8.7,1500000,259200,840
PSLV-XL Chandrayaan-1,Conical,2.8,44.4,2.8,6,Triangular,3.2,4,320000,268000,4860000,44,269,0.53,90,3.2,384400000,518400,2160
Antares 230+ Cygnus OA-9,Conical,3.9,42.5,3.9,0,None,0,2,298000,240000,3344000,215,331,0.49,90,5.7,408000,5760,720
Electron KickSat-2,Ogive,1.2,17,1.2,0,None,0,2,12500,10150,227000,150,303,0.55,90,12.3,500000,5400,420
Vega AVUM Sentinel-2B,Conical,2.3,30,3,4,Trapezoidal,2.8,4,137000,120000,3015000,107,278,0.54,90,9.8,786000,6000,480
Falcon 9 FT Iridium NEXT-1,Ogive,2.8,70,3.7,4,Grid,8.2,2,549000,411000,7607000,162,311,0.52,90,4.1,780000,6120,360
New Shepard NS-16,Conical,2.4,18.3,3.7,6,Trapezoidal,4.2,1,75000,50000,490000,110,280,0.61,90,6.8,107000,600,660
Minotaur I NROL-66,Conical,1.8,19.2,1.67,4,Triangular,1.4,4,36740,31200,586000,60,266,0.58,90,7.5,500000,5400,300
Dnepr-1 AprizeSat,Cylindrical,2.1,34,3,0,None,0,3,211000,174000,4520000,86,285,0.49,90,8.9,700000,6480,240
Saturn IB Apollo 7,Conical,3.9,68.2,6.6,8,Trapezoidal,18.3,2,590000,512000,7740000,150,421,0.46,90,3.7,285000,259200,3960
Atlas II Intelsat 701,Conical,3.2,47.5,3.05,0,None,0,2,204120,175400,1900000,165,296,0.49,90,5.4,35786000,1440,720
Delta II 7925 GPS IIR-1,Conical,2.9,39,2.44,0,None,0,3,231870,196500,4274000,375,255,0.51,90,6.7,20200000,718,480
Zenit-3SL Sea Launch NSS-8,Conical,4.9,59.6,3.9,4,Trapezoidal,7.8,3,471000,411000,7257000,140,337,0.48,90,4.8,35786000,1440,660
Pegasus XL HESSI,Conical,1.3,16.9,1.27,6,Triangular,0.8,3,18500,16200,726000,77,295,0.67,45,15.2,600000,5760,360
Atlas V 551 New Horizons,Conical,4.2,62.2,3.8,0,None,0,2,546700,468100,6280000,245,337,0.49,90,7.3,1500000,31536000,540
Titan II Gemini 12,Conical,2.8,31.4,3.05,0,None,0,2,154000,137200,1913000,156,258,0.48,90,4.6,285000,5760,7200
Space Shuttle Atlantis STS-135,Blunt,0,56.1,8.7,0,None,0,3,2030000,1590000,30160000,120,452,0.82,90,6.1,408000,12960,3840
Soyuz-2.1b Meteor-M 2,Conical,2.7,46.3,2.95,4,Trapezoidal,4.8,3,312000,275000,4145000,286,257,0.51,90,8.3,830000,6120,480
Long March 2F Shenzhou 7,Conical,3.7,62,3.35,4,Trapezoidal,6.4,2,497000,433000,5923000,160,260,0.50,90,3.9,343000,19440,1200
Ariane 4 44LP Galaxy 9,Conical,2.6,58.7,3.8,0,None,0,3,470000,408000,6400000,205,278,0.47,90,5.1,35786000,1440,660
H-IIB HTV-8,Conical,4.2,56.6,5.2,4,Trapezoidal,10.8,2,531000,459000,8000000,350,285,0.47,90,7.8,408000,5760,600
Falcon 9 Block 1 CRS-1,Ogive,2.8,70,3.7,4,Grid,8.2,2,549000,411000,7607000,162,311,0.52,90,9.1,408000,5760,420
Atlas V 411 Juno,Conical,4.2,58.3,3.8,0,None,0,2,334500,284600,3827000,245,337,0.49,90,5.6,778500000,1728000,600
Delta IV Medium+ GOES-R,Conical,4.1,63.1,5,0,None,0,2,251700,207400,3137000,245,410,0.48,90,6.9,35786000,1440,720
Proton-K Zvezda,Conical,4.1,42.3,4.1,0,None,0,3,694000,605000,8700000,130,316,0.49,90,4.7,408000,5760,540
Long March 3A Beidou-1A,Conical,3.2,52.5,3.35,4,Trapezoidal,6.4,3,241000,210000,2962000,285,300,0.50,90,7.4,35786000,1440,480
PSLV-CA Cartosat-2,Conical,2.8,44.4,2.8,6,Triangular,3.2,4,230000,188000,4860000,44,269,0.53,90,8.7,620000,5940,300
Antares 110 Cygnus Orb-1,Conical,3.9,40.5,3.9,0,None,0,2,240000,190000,2933000,215,331,0.49,90,4.2,408000,5760,660
Ariane 5 ES ATV-4,Conical,3.4,50.5,5.4,0,None,0,2,780000,671000,13500000,540,432,0.46,90,6.5,408000,10800,780
Soyuz-U Progress M-67,Conical,2.7,49.5,2.95,4,Trapezoidal,4.8,3,308000,274000,4145000,286,257,0.51,90,5.3,408000,10800,540
Delta II 7320 ICESat,Conical,2.9,36,2.44,0,None,0,2,152407,127400,1052000,265,255,0.51,90,7.9,600000,31536000,420
Zenit-2 Cosmos 2251,Conical,3.2,42.5,3.9,4,Trapezoidal,7.8,2,459000,400000,7257000,140,337,0.48,90,8.6,790000,31536000,480
Atlas V 401 MAVEN,Conical,4.2,58.3,3.8,0,None,0,2,334500,284600,3827000,245,337,0.49,90,3.8,549000000,2592000,720
Falcon 9 v1.1 CRS-5,Ogive,2.8,68.4,3.7,4,Grid,8.2,2,505846,395700,5885000,180,282,0.52,90,6.2,408000,5760,480
Titan IV-A Lacrosse 3,Conical,3.8,62.2,3.05,0,None,0,4,943000,807000,14742000,140,302,0.47,90,4.9,1000000,31536000,720
Space Shuttle Endeavour STS-134,Blunt,0,56.1,8.7,0,None,0,3,2030000,1590000,30160000,120,452,0.82,90,7.1,408000,14400,3960
Long March 2D Yaogan-30,Conical,3.2,41.1,3.35,4,Trapezoidal,6.4,2,232000,202000,2962000,130,260,0.50,90,5.7,500000,6120,300
H-IIA 204 GOSAT,Conical,4,53,4,4,Trapezoidal,8.1,2,445000,385000,4400000,390,285,0.48,90,8.4,666000,31536000,540
Ariane 44L Helios 1A,Conical,2.6,58.7,3.8,0,None,0,3,470000,408000,6400000,205,278,0.47,90,9.2,830000,31536000,600
Soyuz-2.1a Globalstar M032,Conical,2.7,46.3,2.95,4,Trapezoidal,4.8,3,312000,275000,4145000,286,257,0.51,90,6.8,1414000,31536000,480
Proton-M Briz-M Eutelsat W7,Conical,4.1,58.2,4.1,0,None,0,4,705000,622000,10400000,330,316,0.49,90,4.3,35786000,1440,960
Delta IV Heavy NROL-65,Conical,5.1,72,5,0,None,0,2,733400,625900,9411000,245,410,0.48,90,7.6,1000000,31536000,840
Falcon Heavy Tesla Roadster,Ogive,2.8,70,3.7,12,Grid,24.6,2,1420788,1065000,22819000,154,311,0.52,90,5.9,225000000000,15552000,31536000
Atlas II AS Intelsat 806,Conical,3.2,47.5,3.05,0,None,0,2,204120,175400,1900000,165,296,0.49,90,6.4,35786000,1440,660
Long March 3B Chang'e 1,Conical,3.2,54.8,3.35,4,Trapezoidal,6.4,3,458000,410000,6040000,285,300,0.50,90,3.5,384400000,345600,1320
PSLV-G1 IRS-P4,Conical,2.8,44.4,2.8,6,Triangular,3.2,4,295000,245000,4860000,44,269,0.53,90,8.1,817000,6120,360
Minotaur IV NROL-129,Conical,2.3,23.9,2.34,4,Triangular,2.1,4,86364,72800,1379000,65,289,0.57,90,4.7,600000,31536000,420
Antares 120 Cygnus Orb-2,Conical,3.9,41.9,3.9,0,None,0,2,296000,240000,3344000,215,331,0.49,90,7.3,408000,5760,780
Electron Still Testing,Ogive,1.2,17,1.2,0,None,0,2,12500,10150,227000,150,303,0.55,90,11.8,500000,5400,360
Vega AVUM ADM-Aeolus,Conical,2.3,30,3,4,Trapezoidal,2.8,4,137000,120000,3015000,107,278,0.54,90,5.4,320000,31536000,420
Atlas V 401 InSight,Conical,4.2,58.3,3.8,0,None,0,2,334500,284600,3827000,245,337,0.49,90,6.7,548600000,15552000,600
Soyuz-FG Soyuz TMA-20M,Conical,2.7,49.5,2.95,4,Trapezoidal,4.8,3,308000,274000,4145000,286,257,0.51,90,4.8,408000,15552000,540
Delta II 7925H-9.5 Dawn,Conical,2.9,39,2.44,0,None,0,3,231870,196500,4274000,375,255,0.51,90,8.9,673190418109,126144000,480
Zenit-3SL Intelsat 21,Conical,4.9,59.6,3.9,4,Trapezoidal,7.8,3,471000,411000,7257000,140,337,0.48,90,5.1,35786000,1440,720
Pegasus XL IRIS,Conical,1.3,16.9,1.27,6,Triangular,0.8,3,18500,16200,726000,77,295,0.67,45,9.7,630000,31536000,300
Falcon 9 FT JCSAT-14,Ogive,2.8,70,3.7,4,Grid,8.2,2,549000,411000,7607000,162,311,0.52,90,6.3,35786000,1440,420
Space Shuttle Columbia STS-107,Blunt,0,56.1,8.7,0,None,0,3,2030000,1590000,30160000,120,452,0.82,90,7.8,285000,1382400,960
Long March 4C Yaogan-9,Conical,3.2,45.8,3.35,4,Trapezoidal,6.4,3,249200,218000,2962000,165,260,0.50,90,4.1,630000,6120,420
H-IIA 202 Kaguya,Conical,4,53,4,4,Trapezoidal,8.1,2,289000,249000,3140000,390,285,0.48,90,3.6,384400000,172800,600
Ariane 5 G+ Artemis,Conical,3.4,59,5.4,0,None,0,2,746000,639000,11800000,540,432,0.46,90,8.2,35786000,1440,840
Titan IIIC OAO-3,Conical,3.8,43.2,3.05,0,None,0,3,635000,540000,10400000,140,302,0.47,90,5.8,760000,31536000,600
Proton-K Salyut 1,Conical,4.1,42.3,4.1,0,None,0,3,694000,605000,8700000,130,316,0.49,90,6.9,200000,15552000,480
Atlas V 551 Curiosity,Conical,4.2,62.2,3.8,0,None,0,2,546700,468100,6280000,245,337,0.49,90,4.4,563000000,20736000,840
Soyuz-2.1b Glonass-M 55,Conical,2.7,46.3,2.95,4,Trapezoidal,4.8,3,312000,275000,4145000,286,257,0.51,90,7.4,19140000,43200,420
Delta IV Medium DSCS III B-6,Conical,4.1,63.1,5,0,None,0,2,251700,207400,3137000,245,410,0.48,90,8.7,35786000,1440,660
Long March 2C Shijian-11,Conical,3.2,43,3.35,4,Trapezoidal,6.4,2,213000,185000,2962000,130,260,0.50,90,3.7,700000,6480,300
PSLV-XL Mars Orbiter,Conical,2.8,44.4,2.8,6,Triangular,3.2,4,320000,268000,4860000,44,269,0.53,90,6.1,687000000,25920000,2160
Antares 230 Cygnus OA-7,Conical,3.9,42.5,3.9,0,None,0,2,298000,240000,3344000,215,331,0.49,90,5.5,408000,5760,660
Electron Humanity Star,Ogive,1.2,17,1.2,0,None,0,2,12500,10150,227000,150,303,0.55,90,7.2,500000,2592000,420
Vega LARES,Conical,2.3,30,3,4,Trapezoidal,2.8,4,137000,120000,3015000,107,278,0.54,90,4.9,1450000,31536000,360
Atlas V 421 SBIRS GEO-1,Conical,4.2,58.3,3.8,0,None,0,2,334500,284600,3827000,245,337,0.49,90,8.3,35786000,1440,540
Falcon 9 Block 5 CRS-20,Ogive,2.8,70,3.7,4,Grid,8.2,2,549000,411000,7607000,162,311,0.52,90,6.8,408000,8640,480
Space Shuttle Discovery STS-31,Blunt,0,56.1,8.7,0,None,0,3,2030000,1590000,30160000,120,452,0.82,90,4.6,608000,432000,4320
Soyuz-U Cosmos 2175,Conical,2.7,49.5,2.95,4,Trapezoidal,4.8,3,308000,274000,4145000,286,257,0.51,90,7.9,850000,31536000,420
Delta II 7925 GPS IIF-3,Conical,2.9,39,2.44,0,None,0,3,231870,196500,4274000,375,255,0.51,90,3.4,20200000,43200,540
Zenit-2 Cosmos 2434,Conical,3.2,42.5,3.9,4,Trapezoidal,7.8,2,459000,400000,7257000,140,337,0.48,90,5.9,800000,6480,360
Proton-M Briz-M Ekspress AM-5,Conical,4.1,58.2,4.1,0,None,0,4,705000,622000,10400000,330,316,0.49,90,8.1,35786000,1440,1080
Long March 3A Fengyun-2E,Conical,3.2,52.5,3.35,4,Trapezoidal,6.4,3,241000,210000,2962000,285,300,0.50,90,4.7,35786000,1440,600
H-IIA 202 IGS Optical-2,Conical,4,53,4,4,Trapezoidal,8.1,2,289000,249000,3140000,390,285,0.48,90,6.4,490000,6120,480
Ariane 44LP Intelsat 708,Conical,2.6,58.7,3.8,0,None,0,3,470000,408000,6400000,205,278,0.47,90,7.6,35786000,1440,720
Atlas II AC Arabsat 1C,Conical,3.2,47.5,3.05,0,None,0,2,204120,175400,1900000,165,296,0.49,90,5.2,35786000,1440,600
Titan IV-B Milstar DFS-4,Conical,3.8,62.2,3.05,0,None,0,4,943000,807000,14742000,140,302,0.47,90,6.1,35786000,1440,960
PSLV-CA RISAT-1,Conical,2.8,44.4,2.8,6,Triangular,3.2,4,230000,188000,4860000,44,269,0.53,90,4.8,536000,6000,360
Falcon 9 v1.1 DSCOVR,Ogive,2.8,68.4,3.7,4,Grid,8.2,2,505846,395700,5885000,180,282,0.52,90,8.9,1500000,7776000,420
Minotaur I TacSat-2,Conical,1.8,19.2,1.67,4,Triangular,1.4,4,36740,31200,586000,60,266,0.58,90,3.3,400000,31536000,240
Antares 110 Cygnus Orb-3,Conical,3.9,40.5,3.9,0,None,0,2,240000,190000,2933000,215,331,0.49,90,7.5,408000,5760,780
Space Shuttle Atlantis STS-122,Blunt,0,56.1,8.7,0,None,0,3,2030000,1590000,30160000,120,452,0.82,90,5.3,408000,9360,3600
Long March 2D Tianhui-1,Conical,3.2,41.1,3.35,4,Trapezoidal,6.4,2,232000,202000,2962000,130,260,0.50,90,9.1,500000,31536000,420
Soyuz-2.1b Meteor-M 2-2,Conical,2.7,46.3,2.95,4,Trapezoidal,4.8,3,312000,275000,4145000,286,257,0.51,90,4.2,830000,31536000,540
Ariane 5 ECA JWST,Conical,3.4,59,5.4,0,None,0,2,777000,670000,13500000,540,432,0.46,90,6.7,1500000,15552000,1800
Delta IV Heavy Parker Solar Probe,Conical,5.1,72,5,0,None,0,2,733400,625900,9411000,245,410,0.48,90,4.5,149600000,2592000,960
H-IIB HTV-9,Conical,4.2,56.6,5.2,4,Trapezoidal,10.8,2,531000,459000,8000000,350,285,0.47,90,8.6,408000,8640,720
Zenit-3SLB Phobos-Grunt,Conical,4.9,59.6,3.9,4,Trapezoidal,7.8,3,471000,411000,7257000,140,337,0.48,90,7.8,200000,8640,300
Falcon Heavy Falcon Heavy Demo,Ogive,2.8,70,3.7,12,Grid,24.6,2,1420788,1065000,22819000,154,311,0.52,90,3.8,1000000,21600,540
Proton-K Mir Core Module,Conical,4.1,42.3,4.1,0,None,0,3,694000,605000,8700000,130,316,0.49,90,5.4,408000,5097600,600
Atlas V 401 AEHF-6,Conical,4.2,58.3,3.8,0,None,0,2,334500,284600,3827000,245,337,0.49,90,6.9,35786000,1440,660
PSLV-G IRS-1D,Conical,2.8,44.4,2.8,6,Triangular,3.2,4,295000,245000,4860000,44,269,0.53,90,7.1,817000,6120,420
Long March 3C Beidou-2 G6,Conical,3.2,54.8,3.35,4,Trapezoidal,6.4,3,345000,303000,3000000,285,300,0.50,90,8.4,35786000,1440,540
Electron NROL-151,Ogive,1.2,17,1.2,0,None,0,2,12500,10150,227000,150,303,0.55,90,4.1,500000,31536000,300
Vega AVUM CHEOPS,Conical,2.3,30,3,4,Trapezoidal,2.8,4,137000,120000,3015000,107,278,0.54,90,5.8,700000,31536000,480
Titan IIIE Voyager 1,Conical,3.8,48.8,3.05,0,None,0,3,635000,540000,10400000,140,302,0.47,90,6.2,2887238904336,1417176000,840
