RocketName,NoseType,NoseLength,BodyLength,BodyDiameter,FinCount,FinShape,FinArea,StageCount,TotalMass,FuelMass,Thrust,BurnTime,ISP,DragCoeff,LaunchAngle,WindSpeed,AltitudeHeight,TimeAtAltitude,TotalFlightTime
Soyuz-FG Soyuz MS-09,Conical,2.7,49.5,2.95,4,Trapezoidal,4.8,3,308000,274000,4145000,286,257,0.51,90,3.9,408000,17280000,540
Delta II 7925 Kepler,Conical,2.9,39,2.44,0,None,0,3,231870,196500,4274000,375,255,0.51,90,7.3,700000,126144000,420
Atlas V 541 MSL Curiosity,Conical,4.2,62.2,3.8,0,None,0,2,546700,468100,6280000,245,337,0.49,90,5.7,563000000,31104000,900
Falcon 9 FT SES-10,Ogive,2.8,70,3.7,4,Grid,8.2,2,549000,411000,7607000,162,311,0.52,90,8.1,35786000,1440,360
Space Shuttle Endeavour STS-88,Blunt,0,56.1,8.7,0,None,0,3,2030000,1590000,30160000,120,452,0.82,90,6.4,408000,11520,3240
Long March 5 Chang'e 5,Conical,5.2,57,5,4,Trapezoidal,12.5,2,869000,768000,10650000,520,313,0.49,90,4.8,384400000,2073600,2760
H-IIA 204 Hayabusa,Conical,4,53,4,4,Trapezoidal,8.1,2,445000,385000,4400000,390,285,0.48,90,7.2,300000000,94608000,600
Ariane 44L ERS-2,Conical,2.6,58.7,3.8,0,None,0,3,470000,408000,6400000,205,278,0.47,90,3.6,785000,31536000,720
Proton-M Briz-M ExoMars TGO,Conical,4.1,58.2,4.1,0,None,0,4,705000,622000,10400000,330,316,0.49,90,6.8,400000000,20736000,1200
Soyuz-2.1v Volga,Conical,2.1,44,2.95,4,Trapezoidal,4.8,3,160000,135000,2450000,210,257,0.52,90,5.1,500000,6480,360
PSLV-XL Astrosat,Conical,2.8,44.4,2.8,6,Triangular,3.2,4,320000,268000,4860000,44,269,0.53,90,8.7,650000,31536000,420
Antares 230+ Cygnus OA-10,Conical,3.9,42.5,3.9,0,None,0,2,298000,240000,3344000,215,331,0.49,90,4.3,408000,8640,780
Electron NROL-162,Ogive,1.2,17,1.2,0,None,0,2,12500,10150,227000,150,303,0.55,90,9.4,500000,31536000,360
Vega C LARES-2,Conical,2.3,35,3,4,Trapezoidal,2.8,4,210000,184000,4500000,107,278,0.54,90,6.3,1450000,31536000,480
Atlas V 401 TDRS-L,Conical,4.2,58.3,3.8,0,None,0,2,334500,284600,3827000,245,337,0.49,90,7.6,35786000,1440,600
Falcon 9 Block 5 Crew-1,Ogive,2.8,70,3.7,4,Grid,8.2,2,549000,411000,7607000,162,311,0.52,90,5.2,408000,14515200,420
Delta IV Heavy NROL-37,Conical,5.1,72,5,0,None,0,2,733400,625900,9411000,245,410,0.48,90,3.8,35786000,1440,960
Space Shuttle Columbia STS-1,Blunt,0,56.1,8.7,0,None,0,3,2030000,1590000,30160000,120,452,0.82,90,8.9,285000,196560,2460
Long March 2F Tiangong-1,Conical,3.7,62,3.35,4,Trapezoidal,6.4,2,497000,433000,5923000,160,260,0.50,90,4.1,340000,189216000,720
H-IIB HTV-1,Conical,4.2,56.6,5.2,4,Trapezoidal,10.8,2,531000,459000,8000000,350,285,0.47,90,6.5,408000,10800,660
Soyuz-U Progress M-34,Conical,2.7,49.5,2.95,4,Trapezoidal,4.8,3,308000,274000,4145000,286,257,0.51,90,7.8,408000,12960,480
Ariane 5 G Cluster II,Conical,3.4,59,5.4,0,None,0,2,746000,639000,11800000,540,432,0.46,90,5.9,19000000,1555200,840
Zenit-3SL ICO F-1,Conical,4.9,59.6,3.9,4,Trapezoidal,7.8,3,471000,411000,7257000,140,337,0.48,90,8.2,10390000,864000,720
Proton-K Salyut 6,Conical,4.1,42.3,4.1,0,None,0,3,694000,605000,8700000,130,316,0.49,90,3.7,200000,1892160000,540
Titan IIIC DSCS-II,Conical,3.8,43.2,3.05,0,None,0,3,635000,540000,10400000,140,302,0.47,90,4.6,35786000,1440,660
Atlas V 551 AEHF-4,Conical,4.2,62.2,3.8,0,None,0,2,546700,468100,6280000,245,337,0.49,90,6.1,35786000,1440,780
PSLV-G Oceansat-1,Conical,2.8,44.4,2.8,6,Triangular,3.2,4,295000,245000,4860000,44,269,0.53,90,7.9,720000,6120,300
Long March 3B/E Beidou-3 M9,Conical,3.2,54.8,3.35,4,Trapezoidal,6.4,3,458000,410000,6040000,285,300,0.50,90,5.4,21500000,43200,660
Falcon 9 FT Iridium NEXT-3,Ogive,2.8,70,3.7,4,Grid,8.2,2,549000,411000,7607000,162,311,0.52,90,4.7,780000,6120,420
Minotaur IV ORS-5,Conical,2.3,23.9,2.34,4,Triangular,2.1,4,86364,72800,1379000,65,289,0.57,90,8.5,400000,31536000,360
Space Shuttle Discovery STS-26,Blunt,0,56.1,8.7,0,None,0,3,2030000,1590000,30160000,120,452,0.82,90,3.4,285000,345600,2880
Antares 120 Cygnus CRS-3,Conical,3.9,41.9,3.9,0,None,0,2,296000,240000,3344000,215,331,0.49,90,6.8,408000,8640,840
Delta II 6925 NEAR Shoemaker,Conical,2.9,39,2.44,0,None,0,3,231870,196500,4274000,375,255,0.51,90,7.4,300000000,378432000,480
Long March 4B Yaogan-1,Conical,3.2,45.8,3.35,4,Trapezoidal,6.4,3,249200,218000,2962000,165,260,0.50,90,4.9,630000,6120,540
H-IIA 202 Michibiki,Conical,4,53,4,4,Trapezoidal,8.1,2,289000,249000,3140000,390,285,0.48,90,8.3,32000000,86400,600
Electron CAPSTONE,Ogive,1.2,17,1.2,0,None,0,2,12500,10150,227000,150,303,0.55,90,5.6,384400000,345600,420
Vega AVUM PROBA-V,Conical,2.3,30,3,4,Trapezoidal,2.8,4,137000,120000,3015000,107,278,0.54,90,9.1,820000,31536000,360
Ariane 44LP Meteosat-7,Conical,2.6,58.7,3.8,0,None,0,3,470000,408000,6400000,205,278,0.47,90,6.7,35786000,1440,780
Soyuz-2.1a Kanopus-V 3,Conical,2.7,46.3,2.95,4,Trapezoidal,4.8,3,312000,275000,4145000,286,257,0.51,90,3.2,510000,6120,420
Atlas V 401 GOES-S,Conical,4.2,58.3,3.8,0,None,0,2,334500,284600,3827000,245,337,0.49,90,4.8,35786000,1440,540
Proton-M Briz-M Intelsat 31,Conical,4.1,58.2,4.1,0,None,0,4,705000,622000,10400000,330,316,0.49,90,7.2,35786000,1440,1080
Falcon Heavy Arabsat-6A,Ogive,2.8,70,3.7,12,Grid,24.6,2,1420788,1065000,22819000,154,311,0.52,90,5.8,35786000,1440,660
Zenit-2 Cosmos 2455,Conical,3.2,42.5,3.9,4,Trapezoidal,7.8,2,459000,400000,7257000,140,337,0.48,90,6.9,850000,6480,420
PSLV-CA RISAT-2,Conical,2.8,44.4,2.8,6,Triangular,3.2,4,230000,188000,4860000,44,269,0.53,90,8.6,550000,6000,300
Delta IV Heavy NROL-82,Conical,5.1,72,5,0,None,0,2,733400,625900,9411000,245,410,0.48,90,4.2,1000000,31536000,1020
Long March 5B CSS Core Module,Conical,5.2,53.7,5,4,Trapezoidal,12.5,2,849000,748000,10650000,520,313,0.49,90,7.1,340000,31536000,600
Space Shuttle Atlantis STS-27,Blunt,0,56.1,8.7,0,None,0,3,2030000,1590000,30160000,120,452,0.82,90,5.3,285000,345600,2760
H-IIA 204 SELENE,Conical,4,53,4,4,Trapezoidal,8.1,2,445000,385000,4400000,390,285,0.48,90,9.3,384400000,69120,720
Soyuz-FG Soyuz TMA-18M,Conical,2.7,49.5,2.95,4,Trapezoidal,4.8,3,308000,274000,4145000,286,257,0.51,90,6.4,408000,15552000,480
Ariane 5 ECA Herschel,Conical,3.4,59,5.4,0,None,0,2,777000,670000,13500000,540,432,0.46,90,3.9,1500000,126144000,840
Titan IV-A Lacrosse 1,Conical,3.8,62.2,3.05,0,None,0,4,943000,807000,14742000,140,302,0.47,90,8.1,450000,31536000,960
Antares 230+ Cygnus NG-12,Conical,3.9,42.5,3.9,0,None,0,2,298000,240000,3344000,215,331,0.49,90,7.6,408000,10800,720
Falcon 9 Block 5 Starlink L4-1,Ogive,2.8,70,3.7,4,Grid,8.2,2,549000,411000,7607000,162,311,0.52,90,4.5,550000,5400,360
Proton-K Mir Kvant,Conical,4.1,42.3,4.1,0,None,0,3,694000,605000,8700000,130,316,0.49,90,6.2,408000,5184000,600
Long March 2D Yaogan-35,Conical,3.2,41.1,3.35,4,Trapezoidal,6.4,2,232000,202000,2962000,130,260,0.50,90,8.8,500000,6120,420
Atlas V 421 MUOS-3,Conical,4.2,58.3,3.8,0,None,0,2,334500,284600,3827000,245,337,0.49,90,5.7,35786000,1440,600
PSLV-XL IRNSS-1A,Conical,2.8,44.4,2.8,6,Triangular,3.2,4,320000,268000,4860000,44,269,0.53,90,3.8,35786000,1440,480
Electron Photon Pathstone,Ogive,1.2,17,1.2,0,None,0,2,12500,10150,227000,150,303,0.55,90,11.7,1000000,7776000,540
Vega AVUM Sentinel-2A,Conical,2.3,30,3,4,Trapezoidal,2.8,4,137000,120000,3015000,107,278,0.54,90,4.6,786000,31536000,420
Delta II 7925H GPS IIR-16,Conical,2.9,39,2.44,0,None,0,3,231870,196500,4274000,375,255,0.51,90,7.8,20200000,43200,480
Space Shuttle Endeavour STS-47,Blunt,0,56.1,8.7,0,None,0,3,2030000,1590000,30160000,120,452,0.82,90,6.1,285000,691200,2280
H-IIB HTV-4,Conical,4.2,56.6,5.2,4,Trapezoidal,10.8,2,531000,459000,8000000,350,285,0.47,90,8.9,408000,12960,780
Soyuz-2.1b Resurs-P 2,Conical,2.7,46.3,2.95,4,Trapezoidal,4.8,3,312000,275000,4145000,286,257,0.51,90,5.4,475000,6120,540
Ariane 44L Envisat,Conical,2.6,58.7,3.8,0,None,0,3,470000,408000,6400000,205,278,0.47,90,4.3,800000,31536000,840
Zenit-3SL Thuraya 2,Conical,4.9,59.6,3.9,4,Trapezoidal,7.8,3,471000,411000,7257000,140,337,0.48,90,7.4,35786000,1440,780
Long March 3A Beidou-1B,Conical,3.2,52.5,3.35,4,Trapezoidal,6.4,3,241000,210000,2962000,285,300,0.50,90,8.7,35786000,1440,540
Atlas V 401 OSIRIS-REx,Conical,4.2,58.3,3.8,0,None,0,2,334500,284600,3827000,245,337,0.49,90,6.6,500000000,62208000,600
Proton-M Briz-M Yamal 402,Conical,4.1,58.2,4.1,0,None,0,4,705000,622000,10400000,330,316,0.49,90,3.6,35786000,1440,960
Falcon 9 FT EchoStar 23,Ogive,2.8,70,3.7,4,Grid,8.2,2,549000,411000,7607000,162,311,0.52,90,5.1,35786000,1440,480
PSLV-G Resourcesat-1,Conical,2.8,44.4,2.8,6,Triangular,3.2,4,295000,245000,4860000,44,269,0.53,90,9.5,817000,6120,360
Minotaur I NRO L-96,Conical,1.8,19.2,1.67,4,Triangular,1.4,4,36740,31200,586000,60,266,0.58,90,4.7,400000,31536000,300
Delta IV Heavy NROL-15,Conical,5.1,72,5,0,None,0,2,733400,625900,9411000,245,410,0.48,90,8.4,1000000,31536000,900
Space Shuttle Columbia STS-90,Blunt,0,56.1,8.7,0,None,0,3,2030000,1590000,30160000,120,452,0.82,90,7.2,285000,1382400,3960
Antares 120 Cygnus CRS-4,Conical,3.9,41.9,3.9,0,None,0,2,296000,240000,3344000,215,331,0.49,90,3.5,408000,10800,900
Long March 4C Yaogan-26,Conical,3.2,45.8,3.35,4,Trapezoidal,6.4,3,249200,218000,2962000,165,260,0.50,90,6.5,1200000,6480,480
H-IIA 202 Daichi,Conical,4,53,4,4,Trapezoidal,8.1,2,289000,249000,3140000,390,285,0.48,90,4.9,692000,6120,420
Soyuz-U Progress M-04M,Conical,2.7,49.5,2.95,4,Trapezoidal,4.8,3,308000,274000,4145000,286,257,0.51,90,8.6,408000,15552000,540
Ariane 5 ECA BepiColombo,Conical,3.4,59,5.4,0,None,0,2,777000,670000,13500000,540,432,0.46,90,5.8,108000000,94608000,1020
Electron BlackSky Global 7,Ogive,1.2,17,1.2,0,None,0,2,12500,10150,227000,150,303,0.55,90,7.9,450000,6120,300
Vega VV16 53 smallsats,Conical,2.3,30,3,4,Trapezoidal,2.8,4,137000,120000,3015000,107,278,0.54,90,6.4,500000,5400,420
Atlas V 541 Perseverance,Conical,4.2,62.2,3.8,0,None,0,2,546700,468100,6280000,245,337,0.49,90,3.7,401000000,20736000,900
Proton-K Salyut 7,Conical,4.1,42.3,4.1,0,None,0,3,694000,605000,8700000,130,316,0.49,90,6.8,200000,2073600000,480
Falcon Heavy STP-2,Ogive,2.8,70,3.7,12,Grid,24.6,2,1420788,1065000,22819000,154,311,0.52,90,4.4,35786000,1440,840
PSLV-CA Cartosat-2F,Conical,2.8,44.4,2.8,6,Triangular,3.2,4,230000,188000,4860000,44,269,0.53,90,7.7,505000,6000,360
Long March 5 Tianwen-1,Conical,5.2,57,5,4,Trapezoidal,12.5,2,869000,768000,10650000,520,313,0.49,90,8.2,401000000,25920000,2400
Zenit-2 Sich-2,Conical,3.2,42.5,3.9,4,Trapezoidal,7.8,2,459000,400000,7257000,140,337,0.48,90,5.6,670000,6480,420
Delta II 7925 CloudSat,Conical,2.9,39,2.44,0,None,0,3,231870,196500,4274000,375,255,0.51,90,9.2,705000,31536000,540
Space Shuttle Discovery STS-63,Blunt,0,56.1,8.7,0,None,0,3,2030000,1590000,30160000,120,452,0.82,90,4.8,285000,777600,2640
H-IIA 204 Akatsuki,Conical,4,53,4,4,Trapezoidal,8.1,2,445000,385000,4400000,390,285,0.48,90,6.3,162000000,15552000,720
Soyuz-2.1v Cosmos 2491,Conical,2.1,44,2.95,4,Trapezoidal,4.8,3,160000,135000,2450000,210,257,0.52,90,7.5,1500000,31536000,420
Ariane 44LP Intelsat 803,Conical,2.6,58.7,3.8,0,None,0,3,470000,408000,6400000,205,278,0.47,90,8.1,35786000,1440,660
Antares 230+ Cygnus NG-15,Conical,3.9,42.5,3.9,0,None,0,2,298000,240000,3344000,215,331,0.49,90,3.9,408000,12960,840
Falcon 9 Block 5 Crew-2,Ogive,2.8,70,3.7,4,Grid,8.2,2,549000,411000,7607000,162,311,0.52,90,6.7,408000,17280000,480
Atlas V 421 AEHF-2,Conical,4.2,58.3,3.8,0,None,0,2,334500,284600,3827000,245,337,0.49,90,5.2,35786000,1440,720
Proton-M Briz-M Echostar XVII,Conical,4.1,58.2,4.1,0,None,0,4,705000,622000,10400000,330,316,0.49,90,8.9,35786000,1440,1200
Long March 2C Yaogan-30 04,Conical,3.2,43,3.35,4,Trapezoidal,6.4,2,213000,185000,2962000,130,260,0.50,90,4.1,600000,6480,360
PSLV-XL GSAT-12,Conical,2.8,44.4,2.8,6,Triangular,3.2,4,320000,268000,4860000,44,269,0.53,90,7.6,35786000,1440,540
Electron NROL-199,Ogive,1.2,17,1.2,0,None,0,2,12500,10150,227000,150,303,0.55,90,5.9,500000,31536000,420
Vega C Sentinel-1C,Conical,2.3,35,3,4,Trapezoidal,2.8,4,210000,184000,4500000,107,278,0.54,90,8.3,693000,31536000,600
Delta IV Heavy NROL-68,Conical,5.1,72,5,0,None,0,2,733400,625900,9411000,245,410,0.48,90,6.8,1000000,31536000,1080
Space Shuttle Endeavour STS-49,Blunt,0,56.1,8.7,0,None,0,3,2030000,1590000,30160000,120,452,0.82,90,7.9,285000,777600,2520
H-IIB HTV-7,Conical,4.2,56.6,5.2,4,Trapezoidal,10.8,2,531000,459000,8000000,350,285,0.47,90,4.4,408000,14400,660
Soyuz-FG Soyuz MS-12,Conical,2.7,49.5,2.95,4,Trapezoidal,4.8,3,308000,274000,4145000,286,257,0.51,90,8.7,408000,17280000,420
Ariane 5 G+ Rosetta,Conical,3.4,59,5.4,0,None,0,2,746000,639000,11800000,540,432,0.46,90,5.4,500000000,378432000,1080
Zenit-3SLB Fobos-Grunt,Conical,4.9,59.6,3.9,4,Trapezoidal,7.8,3,471000,411000,7257000,140,337,0.48,90,6.1,200000,8640,360
Long March 3B/E Beidou-3 G1,Conical,3.2,54.8,3.35,4,Trapezoidal,6.4,3,458000,410000,6040000,285,300,0.50,90,9.4,35786000,1440,720
Atlas V 401 GPM,Conical,4.2,58.3,3.8,0,None,0,2,334500,284600,3827000,245,337,0.49,90,4.2,407000,6120,480
Falcon 9 FT Jason-3,Ogive,2.8,70,3.7,4,Grid,8.2,2,549000,411000,7607000,162,311,0.52,90,7.3,1336000,6120,360
Proton-K Buran Test,Conical,4.1,42.3,4.1,0,None,0,3,694000,605000,8700000,130,316,0.49,90,3.3,250000,12960,720
PSLV-CA Microsat-R,Conical,2.8,44.4,2.8,6,Triangular,3.2,4,230000,188000,4860000,44,269,0.53,90,8.4,274000,5400,240
Minotaur IV NROL-129,Conical,2.3,23.9,2.34,4,Triangular,2.1,4,86364,72800,1379000,65,289,0.57,90,6.9,600000,31536000,480
Delta IV Heavy NROL-44,Conical,5.1,72,5,0,None,0,2,733400,625900,9411000,245,410,0.48,90,5.3,35786000,1440,1140
Space Shuttle Atlantis STS-86,Blunt,0,56.1,8.7,0,None,0,3,2030000,1590000,30160000,120,452,0.82,90,4.6,408000,864000,2760
Antares 230+ Cygnus NG-16,Conical,3.9,42.5,3.9,0,None,0,2,298000,240000,3344000,215,331,0.49,90,7.2,408000,15552000,900